# Constructed from biom file
#OTU ID	SRR22990781	SRR22990782	SRR22990783	SRR22990784	SRR22990785	SRR22990786	SRR22990787	SRR22990788	SRR22990789	SRR22990790	SRR22990791	SRR22990792	SRR22990793	SRR22990794	SRR22990795	SRR22990796	SRR22990797	SRR22990798	SRR22990799	SRR22990800	SRR22990801	SRR22990802	SRR22990803	SRR22990804	SRR22990805	SRR22990806
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia	117.0	163.0	0.0	1177.0	134.0	37.0	141.0	0.0	292.0	39.0	0.0	32.0	0.0	159.0	2917.0	3314.0	510.0	0.0	491.0	91.0	0.0	0.0	271.0	0.0	51.0	114.0
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia	0.0	0.0	0.0	0.0	2231.0	0.0	28.0	0.0	194.0	0.0	0.0	0.0	67.0	0.0	0.0	91.0	0.0	0.0	0.0	28.0	0.0	0.0	145.0	0.0	0.0	158.0
d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Veillonellaceae;g__Dialister	514.0	0.0	0.0	242.0	0.0	0.0	743.0	17.0	87.0	0.0	45.0	0.0	280.0	6636.0	0.0	92.0	0.0	0.0	355.0	0.0	0.0	0.0	0.0	0.0	8.0	265.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerostipes	67.0	503.0	84.0	506.0	256.0	242.0	301.0	222.0	164.0	405.0	524.0	290.0	213.0	100.0	129.0	139.0	98.0	3.0	331.0	734.0	244.0	178.0	166.0	105.0	94.0	118.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Erysipelotrichaceae_UCG-003	0.0	0.0	0.0	279.0	55.0	0.0	110.0	0.0	156.0	607.0	0.0	904.0	381.0	208.0	280.0	0.0	201.0	0.0	0.0	0.0	0.0	187.0	80.0	0.0	60.0	116.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Coprococcus	112.0	127.0	0.0	344.0	106.0	509.0	244.0	81.0	544.0	0.0	149.0	261.0	229.0	664.0	1052.0	0.0	656.0	0.0	88.0	29.0	3442.0	20.0	391.0	0.0	0.0	268.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea	439.0	1893.0	0.0	761.0	79.0	547.0	285.0	122.0	507.0	221.0	261.0	209.0	376.0	751.0	521.0	0.0	786.0	0.0	501.0	88.0	0.0	578.0	185.0	85.0	171.0	408.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_sensu_stricto_1	957.0	452.0	0.0	309.0	365.0	0.0	149.0	0.0	0.0	0.0	0.0	623.0	0.0	35.0	1285.0	152.0	197.0	0.0	190.0	9.0	0.0	0.0	56.0	0.0	33.0	152.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UCG-002	93.0	0.0	0.0	102.0	760.0	145.0	185.0	609.0	5.0	0.0	0.0	91.0	0.0	2903.0	167.0	0.0	339.0	0.0	0.0	0.0	0.0	0.0	303.0	0.0	0.0	815.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus	197.0	0.0	0.0	15.0	34.0	24.0	169.0	266.0	218.0	0.0	0.0	58.0	228.0	0.0	2090.0	364.0	0.0	0.0	196.0	606.0	0.0	0.0	320.0	0.0	243.0	233.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides	904.0	2265.0	287.0	1360.0	1059.0	294.0	441.0	2033.0	1967.0	0.0	95.0	61.0	32.0	4400.0	56.0	1031.0	697.0	71.0	642.0	2478.0	685.0	62.0	706.0	1085.0	90.0	168.0
d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Veillonellaceae;g__Megasphaera	0.0	19.0	171.0	111.0	0.0	26.0	0.0	0.0	0.0	53.0	0.0	0.0	0.0	0.0	0.0	257.0	0.0	0.0	0.0	0.0	0.0	0.0	181.0	0.0	4025.0	190.0
d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Veillonellaceae;g__Veillonella	0.0	2414.0	1370.0	80.0	0.0	0.0	0.0	3206.0	0.0	0.0	0.0	0.0	0.0	0.0	366.0	284.0	0.0	57.0	0.0	0.0	52.0	0.0	0.0	759.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;__	64.0	1273.0	9.0	0.0	0.0	0.0	0.0	0.0	83.0	0.0	551.0	0.0	85.0	138.0	216.0	92.0	0.0	0.0	0.0	0.0	6.0	1660.0	0.0	10.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Monoglobales;f__Monoglobaceae;g__Monoglobus	135.0	0.0	0.0	426.0	7.0	517.0	116.0	102.0	128.0	62.0	0.0	442.0	121.0	408.0	309.0	392.0	203.0	0.0	225.0	0.0	0.0	12.0	80.0	0.0	57.0	24.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;__	161.0	0.0	0.0	0.0	165.0	642.0	220.0	7.0	483.0	0.0	0.0	253.0	8.0	45.0	270.0	0.0	59.0	0.0	122.0	4.0	0.0	2.0	17.0	0.0	887.0	2028.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__uncultured	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	67.0	102.0	0.0	0.0	0.0	0.0	0.0	1040.0	0.0	0.0	0.0	0.0	17.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Butyricicoccus	0.0	0.0	15.0	406.0	2.0	265.0	216.0	73.0	94.0	0.0	83.0	116.0	147.0	503.0	283.0	201.0	457.0	0.0	139.0	101.0	195.0	5.0	246.0	87.0	84.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella	117.0	0.0	0.0	9.0	5.0	0.0	242.0	0.0	0.0	0.0	0.0	0.0	0.0	2677.0	0.0	0.0	203.0	0.0	0.0	0.0	167.0	0.0	696.0	0.0	0.0	322.0
d__Bacteria;p__Firmicutes;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Phascolarctobacterium	31.0	65.0	0.0	0.0	951.0	97.0	271.0	157.0	481.0	20.0	0.0	0.0	0.0	124.0	360.0	0.0	93.0	0.0	0.0	2.0	595.0	24.0	62.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__CAG-352	51.0	0.0	0.0	0.0	0.0	0.0	0.0	518.0	701.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	366.0	0.0	634.0	0.0	0.0	0.0	89.0	0.0	169.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnoclostridium	0.0	368.0	56.0	130.0	31.0	0.0	136.0	0.0	38.0	0.0	0.0	32.0	0.0	440.0	172.0	304.0	173.0	0.0	101.0	0.0	821.0	69.0	34.0	106.0	28.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-56	0.0	183.0	0.0	126.0	0.0	152.0	0.0	0.0	0.0	0.0	0.0	119.0	0.0	0.0	108.0	0.0	0.0	0.0	0.0	284.0	0.0	18.0	184.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__NK4A214_group	0.0	0.0	0.0	66.0	60.0	49.0	0.0	96.0	114.0	0.0	0.0	20.0	0.0	443.0	230.0	0.0	0.0	0.0	123.0	54.0	0.0	0.0	47.0	0.0	10.0	61.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus	395.0	211.0	65.0	322.0	6.0	436.0	6.0	0.0	427.0	67.0	81.0	16.0	381.0	230.0	159.0	1251.0	266.0	56.0	21.0	0.0	1374.0	30.0	0.0	360.0	10.0	0.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Erysipelatoclostridium	0.0	924.0	43.0	0.0	0.0	0.0	18.0	20.0	0.0	34.0	0.0	0.0	18.0	29.0	8.0	439.0	0.0	0.0	29.0	93.0	647.0	4.0	0.0	115.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Eubacterium]_ventriosum_group	72.0	183.0	0.0	303.0	0.0	28.0	45.0	26.0	76.0	0.0	0.0	258.0	49.0	201.0	234.0	0.0	99.0	0.0	0.0	57.0	0.0	0.0	0.0	0.0	59.0	0.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__Rothia	0.0	0.0	0.0	0.0	0.0	31.0	0.0	0.0	0.0	0.0	0.0	0.0	31.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	806.0	0.0	0.0	0.0	0.0	11.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__uncultured	0.0	0.0	0.0	91.0	43.0	65.0	0.0	63.0	213.0	0.0	0.0	95.0	0.0	388.0	131.0	0.0	233.0	0.0	138.0	35.0	27.0	0.0	0.0	0.0	0.0	4.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides	291.0	75.0	105.0	211.0	197.0	37.0	111.0	54.0	169.0	0.0	0.0	0.0	0.0	931.0	0.0	0.0	243.0	11.0	91.0	54.0	0.0	0.0	0.0	168.0	0.0	2.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__[Eubacterium]_coprostanoligenes_group;g__[Eubacterium]_coprostanoligenes_group	118.0	0.0	0.0	275.0	111.0	239.0	197.0	176.0	195.0	0.0	0.0	185.0	0.0	0.0	547.0	0.0	246.0	0.0	86.0	0.0	0.0	0.0	121.0	0.0	151.0	236.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae;g__Terrisporobacter	0.0	0.0	0.0	0.0	274.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	217.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	205.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_ND3007_group	83.0	0.0	0.0	33.0	0.0	52.0	150.0	0.0	0.0	0.0	0.0	200.0	0.0	100.0	184.0	94.0	275.0	0.0	106.0	0.0	421.0	86.0	0.0	0.0	12.0	6.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes	116.0	0.0	0.0	0.0	760.0	135.0	139.0	186.0	309.0	0.0	0.0	0.0	0.0	572.0	90.0	0.0	342.0	0.0	175.0	86.0	5.0	0.0	109.0	0.0	0.0	212.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Turicibacter	0.0	255.0	0.0	0.0	13.0	0.0	158.0	0.0	12.0	0.0	0.0	0.0	0.0	99.0	257.0	97.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	179.0
