# Constructed from biom file
#OTU ID	SRR22990781	SRR22990782	SRR22990783	SRR22990784	SRR22990785	SRR22990786	SRR22990787	SRR22990788	SRR22990789	SRR22990790	SRR22990791	SRR22990792	SRR22990793	SRR22990794	SRR22990795	SRR22990796	SRR22990797	SRR22990798	SRR22990799	SRR22990800	SRR22990801	SRR22990802	SRR22990803	SRR22990804	SRR22990805	SRR22990806
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;__;__	90.0	1249.0	38.0	588.0	171.0	929.0	774.0	176.0	722.0	670.0	125.0	667.0	563.0	1566.0	4934.0	747.0	1510.0	0.0	787.0	621.0	2916.0	264.0	301.0	472.0	166.0	452.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;__	117.0	163.0	0.0	1177.0	0.0	37.0	141.0	0.0	292.0	39.0	0.0	32.0	0.0	159.0	2843.0	3314.0	460.0	0.0	491.0	91.0	0.0	0.0	271.0	0.0	51.0	114.0
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;__	0.0	0.0	0.0	0.0	2050.0	0.0	0.0	0.0	191.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	137.0	0.0	0.0	151.0
d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Veillonellaceae;g__Dialister;__	496.0	0.0	0.0	236.0	0.0	0.0	743.0	17.0	87.0	0.0	45.0	0.0	280.0	6636.0	0.0	92.0	0.0	0.0	355.0	0.0	0.0	0.0	0.0	0.0	8.0	236.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerostipes;__	67.0	503.0	0.0	506.0	256.0	242.0	301.0	222.0	164.0	339.0	524.0	133.0	213.0	100.0	129.0	0.0	98.0	0.0	328.0	734.0	244.0	64.0	166.0	105.0	94.0	118.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Erysipelotrichaceae_UCG-003;__	0.0	0.0	0.0	279.0	55.0	0.0	110.0	0.0	156.0	412.0	0.0	902.0	381.0	208.0	247.0	0.0	201.0	0.0	0.0	0.0	0.0	187.0	80.0	0.0	58.0	116.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Coprococcus;__	112.0	127.0	0.0	344.0	106.0	509.0	244.0	81.0	544.0	0.0	149.0	261.0	229.0	664.0	1052.0	0.0	656.0	0.0	88.0	29.0	3442.0	20.0	391.0	0.0	0.0	268.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea;__	439.0	1893.0	0.0	761.0	79.0	547.0	285.0	122.0	507.0	221.0	261.0	209.0	376.0	751.0	521.0	0.0	786.0	0.0	501.0	88.0	0.0	578.0	185.0	85.0	171.0	408.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_sensu_stricto_1;__	957.0	452.0	0.0	309.0	363.0	0.0	149.0	0.0	0.0	0.0	0.0	623.0	0.0	35.0	1285.0	113.0	197.0	0.0	190.0	0.0	0.0	0.0	56.0	0.0	33.0	152.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UCG-002;s__uncultured_organism	0.0	0.0	0.0	0.0	58.0	94.0	133.0	88.0	0.0	0.0	0.0	35.0	0.0	1964.0	77.0	0.0	138.0	0.0	0.0	0.0	0.0	0.0	124.0	0.0	0.0	400.0
